region,population,parent,Quality,Altcountryname
Luxembourg,607728,Europe,,
Madagascar,26262368,Africa,,
Malaysia,31528585,Asia,,
Maldives,515696,Africa,,
Malta,483530,Europe,,
Mauritania,4403319,Africa,,
Mauritius,1265303,Africa,,
Mexico,126190788,North America,,
Moldova,3545883,Europe,,
Monaco,38682,Europe,,
Mongolia,3170208,Asia,,
Montenegro,622345,Europe,,
Morocco,36029138,Africa,,
Namibia,2448255,Africa,,
Nepal,28087871,Asia,,
Aruba,105845,South America,,
Curacao,159849,South America,,
Sint Maarten,42876,South America,,
Netherlands,17231017,Europe,,The Netherlands;Holland
New Zealand,4885500,Oceania,,
Nicaragua,6465513,North America,,
Niger,22442948,Africa,,
Nigeria,195874740,Africa,,
North Macedonia,2082958,Europe,,
Norway,5314336,Europe,,
Oman,4829483,Asia,,
Pakistan,212215030,Asia,,
Panama,4176873,North America,,
Papua New Guinea,8606316,Oceania,,
Paraguay,6956071,South America,,
Peru,31989256,South America,,
Philippines,106651922,Asia,,
Poland,37978548,Europe,,
Portugal,10281762,Europe,,
Qatar,2781677,Asia,,
Romania,19473936,Europe,,
Russia,144478050,Europe,,
Rwanda,12301939,Africa,,
Saint Lucia,183627,North America,,
Saint Vincent and the Grenadines,110940,North America,,
San Marino,33785,Europe,,
Saudi Arabia,33699947,Asia,,
Senegal,15854360,Africa,,
Serbia,6982084,Europe,,
Seychelles,96762,Africa,,
Singapore,5638676,Asia,,
Slovakia,5459642,Europe,,
Slovenia,2067372,Europe,,
Somalia,15008154,Africa,,
South Africa,57779622,Africa,,
Spain,46723749,Europe,End of May they corrected fatalities downward,Espana
Sri Lanka,21670000,Asia,,
Sudan,41801533,Africa,,
Suriname,575991,South America,,
Sweden,10183175,Europe,,Svirge
Switzerland,8516543,Europe,,
Taiwan,23780000,Asia,,
Tanzania,56318348,Africa,,
Thailand,69428524,Asia,,
Togo,7889094,Africa,,
Trinidad and Tobago,1389858,North America,,
Tunisia,11565204,Africa,,
Turkey,82319724,Europe,,
Uganda,42723139,Africa,,
Ukraine,44622516,Europe,,
United Arab Emirates,9630959,Asia,,UAE
Bermuda,63968,North America,,
Cayman Islands,64174,North America,,
Channel Islands,170499,Europe,,
Gibraltar,33718,Europe,,
Isle of Man,84077,Europe,,
Montserrat,4992,North America,,
United Kingdom,66488991,Europe,,UK
Uruguay,3449299,South America,,
US,331002000,North America,,USA;United States
Uzbekistan,32955400,Asia,,
Venezuela,28435980,South America,,
Vietnam,95540395,Asia,,
Zambia,17351822,Africa,,
Zimbabwe,14439018,Africa,,
Dominica,71625,North America,,
Grenada,111454,North America,,
Mozambique,29495962,Africa,,
Syria,17500658,Asia,,
Timor-Leste,1267972,Asia,,East-Timor
Belize,383071,North America,,
Laos,7275560,Asia,,
Libya,6678567,Africa,,Palestine
West Bank and Gaza,4569087,Asia,,
Guinea-Bissau,1874309,Africa,,
Mali,19077690,Africa,,
Saint Kitts and Nevis,53199,North America,,
Kosovo,1845300,Europe,,
Burma,53710000,Asia,,
Anguilla,15003,North America,,
British Virgin Islands,29802,North America,,
Turks and Caicos Islands,37665,North America,,
MS Zaandam,3500,-,,
Botswana,2254126,Africa,,
Burundi,11175378,Africa,,
Sierra Leone,7650154,Africa,,
Bonaire Sint Eustatius and Saba,26000,North America,,
Malawi,18143315,Africa,,
Falkland Islands (Malvinas),3480,Europe,,
Saint Pierre and Miquelon,5794,North America,,
South Sudan,10975920,Africa,,
Western Sahara,594500,Africa,,
Sao Tome and Principe,211028,Africa,,
Yemen,28500000,Asia,,
South Korea,51635256,Asia,,
Korea South,51635256,Asia,,
Korea,51635256,Asia,,
Alberta,4067175,Canada,,
British Columbia,4648055,Canada,,
Grand Princess,5000,Canada,,
Manitoba,1278365,Canada,,
New Brunswick,747101,Canada,,
Newfoundland and Labrador,519716,Canada,,
Nova Scotia,923598,Canada,,
Ontario,13448494,Canada,,
Prince Edward Island,142907,Canada,,
Quebec,8164361,Canada,,
Saskatchewan,1098352,Canada,,
Anhui,59500510,China,,
Beijing,19612368,China,,
Chongqing,28846170,China,,
Fujian,36894216,China,,
Gansu,25575254,China,,
Guangdong,104303132,China,,
Guangxi,46026629,China,,
Guizhou,35806468,China,,
Hainan,9261518,China,,
Hebei,71854202,China,,
Heilongjiang,38312224,China,,
Henan,94023567,China,,
Hubei,59500000,China,,
Hunan,65683722,China,,
Inner Mongolia,24706321,China,,
Jiangsu,78659903,China,,
Jiangxi,44567475,China,,
Jilin,27462297,China,,
Liaoning,43746323,China,,
Ningxia,6176900,China,,
Qinghai,5626722,China,,
Shaanxi,37327378,China,,
Shandong,100063065,China,,
Shanghai,23019148,China,,
Shanxi,37022111,China,,
Sichuan,80418200,China,,
Tianjin,12938224,China,,
Tibet,3002166,China,,
Xinjiang,21813334,China,,
Yunnan,45966239,China,,
Zhejiang,54426891,China,,
Diamond Princess,3200,-,,
Northwest Territories,44826,Canada,,
Yukon,35874,Canada,,
Abruzzo,1311580,Italy,,
Alentejo,358000,Portugal,,
Algarve,227000,Portugal,,
Andalucía,8388875,Spain,,
Aragón,1311301,Spain,,
Ayrshire and Arran,5058,United Kingdom,,
Açores,122000,Portugal,,
Baden-Württemberg,11069533,Germany,,
Basilicata,562869,Italy,,
Bayern,13076721,Germany,,
Berlin,3644826,Germany,,
Bolzano,106951,Italy,,
Brandenburg,2511917,Germany,,
Bremen,682986,Germany,,
Burgenland,294466,Austria,,
Calabria,1947131,Italy,,
Campania,5801692,Italy,,
Canarias,2114845,Spain,,
Cantabria,587682,Spain,,
Castilla y León,2495689,Spain,,
Castilla-La Mancha,2075197,Spain,,
Cataluña,7518903,Spain,,
Centro,1170000,Portugal,,
Ciudad Autónoma de Ceuta,84674,Spain,,
Ciudad Autónoma de Melilla,83870,Spain,,
Comunidad Foral de Navarra,636450,Spain,,
Comunidad Valenciana,4956427,Spain,,
Comunidad de Madrid,6378297,Spain,,
Dumfries and Galloway,148790,United Kingdom,,
East of England,6201214,United Kingdom,,
Eileanan Siar (Western Isles),26830,United Kingdom,,
Emilia-Romagna,4459477,Italy,,
England,55977178,United Kingdom,,
Extremadura,1099605,Spain,,
Faroe,48497,Denmark,,
Fife,371910,United Kingdom,,
Forth Valley,306640,United Kingdom,,
Friuli Venezia Giulia,1215220,Italy,,
Galicia,2747226,Spain,,
Grampian,500000,United Kingdom,,
Greater Glasgow and Clyde,1183120,United Kingdom,,
Hamburg,1841179,Germany,,
Hessen,6265809,Germany,,
Highland,235540,United Kingdom,,
Hovedstaden,1836000,Denmark,,
Illes Balears,1188000,Spain,,
Kärnten,561390,Austria,,
La Rioja,315223,Spain,,
Lanarkshire,319020,United Kingdom,,
Lazio,5879082,Italy,,
Liguria,1550640,Italy,,
Lisbon,1383000,Portugal,,
Lombardia,10060574,Italy,,
London,8908081,United Kingdom,,
Lothian,858090,United Kingdom,,
Madeira,131000,Portugal,,
Marche,1525271,Italy,,
Mecklenburg-Vorpommern,1609675,Germany,,
Midlands,10700000,United Kingdom,,
Midtjylland,1313596,Denmark,,
Molise,305617,Italy,,
Niedersachsen,7982000,Germany,,
Niederösterreich,1684623,Austria,,
Nordjylland,589148,Denmark,,
Nordrhein-Westfalen,17932651,Germany,,
Norte,1834000,Portugal,,
North East and Yorkshire,8100000,United Kingdom,,
North West,7292093,United Kingdom,,
Northern Ireland,1881641,United Kingdom,,
Oberösterreich,1490392,Austria,,
Orkney,22190,United Kingdom,,
País Vasco,3155597,Spain,,
Piemonte,4356406,Italy,,
Principado de Asturias,1058975,Spain,,
Puglia,4029053,Italy,,
Región de Murcia,1461803,Spain,,
Rheinland-Pfalz,4084844,Germany,,
Saarland,990509,Germany,,
Sachsen,4077937,Germany,,
Sachsen-Anhalt,2208321,Germany,,
Salzburg,558479,Austria,,
Sardegna,1639591,Italy,,
Schleswig Holstein,2896712,Germany,,
Scotland,5438100,United Kingdom,,
Shetland,22990,United Kingdom,,
Sicilia,4999891,Italy,,
Sjælland,835024,Denmark,,
South East,9133625,United Kingdom,,
South West,5599735,United Kingdom,,
Steiermark,1246576,Austria,,
Syddanmark,1220763,Denmark,,
Tayside,392000,United Kingdom,,
Thüringen,2143145,Germany,,
Tirol,757852,Austria,,
Toscana,3800000,Italy,,
Trento,1072276,Italy,,
Umbria,882015,Italy,,
Valle d'Aosta,125666,Italy,,
Veneto,4905854,Italy,,
Vorarlberg,397094,Austria,,
Wales,3138631,United Kingdom,,
Wien,1911728,Austria,,
Alabama,4903185,US,,
Alaska,731545,US,,
American Samoa,55641,US,,
Arizona,7278717,US,,
Arkansas,3017825,US,,
California,39512223,US,,
Colorado,5758736,US,,
Connecticut,3565287,US,,
Delaware,973764,US,,
District of Columbia,705749,US,,
Florida,21477737,US,,
Georgia State,10617423,US,,
Guam,165718,US,,
Hawaii,1415872,US,,
Idaho,1787065,US,,
Illinois,12671821,US,,
Indiana,6732219,US,,
Iowa,3155070,US,,
Kansas,2913314,US,,
Kentucky,4467673,US,,
Louisiana,4648794,US,,
Maine,1344212,US,,
Maryland,6045680,US,,
Massachusetts,6949503,US,,
Michigan,9986857,US,,
Minnesota,5639632,US,,
Mississippi,2976149,US,,
Missouri,6137428,US,,
Montana,1068778,US,,
Nebraska,1934408,US,,
Nevada,3080156,US,,
New Hampshire,1359711,US,,
New Jersey,8882190,US,,
New Mexico,2096829,US,,
New York,19453561,US,,
North Carolina,10488084,US,,
North Dakota,762062,US,,
Northern Mariana Islands,55194,US,,
Ohio,11689100,US,,
Oklahoma,3956971,US,,
Oregon,4217737,US,,
Pennsylvania,12801989,US,,
Puerto Rico,3193694,US,,
Rhode Island,1059361,US,,
South Carolina,5148714,US,,
South Dakota,884659,US,,
Tennessee,6833174,US,,
Texas,28995881,US,,
U.S. Virgin Islands,104914,US,,
Utah,3205958,US,,
Vermont,623989,US,,
Virginia,8535519,US,,
Washington,7614893,US,,
West Virginia,1792147,US,,
Wisconsin,5822434,US,,
Wyoming,578759,US,,
New South Wales,8089526,Australia,,
Victoria,6594804,Australia,,
Queensland,5095100,Australia,,
Western Australia,2621680,Australia,,
South Australia,1751693,Australia,,
Tasmania,534281,Australia,,
Australian Capital Territory,426709,Australia,,
Northern Territory,245869,Australia,,
Drenthe,493449,Netherlands,,
Flevoland,422202,Netherlands,,
Friesland,649988,Netherlands,,
Gelderland,2084478,Netherlands,,
Groningen,585881,Netherlands,,
Limburg,1118223,Netherlands,,
North Brabant,2562566,Netherlands,,
North Holland,2877909,Netherlands,,
Overijssel,1162215,Netherlands,,
South Holland,3705625,Netherlands,,
Utrecht,1353596,Netherlands,,
Zeeland,383689,Netherlands,,
Wallonia,3630000,Belgium,,
Wallonie,3630000,Belgium,,
Brussels,1210000,Belgium,,
Flanders,6900000,Belgium,,
Blekinge,159606,Sweden,,
Dalarna,1287966,Sweden,,
Gävleborg,287382,Sweden,,
Gotland,59686,Sweden,,
Halland,333848,Sweden,,
Jämtland,130810,Sweden,,
Jönköping,363599,Sweden,,
Kalmar,245446,Sweden,,
Kronoberg,201463,Sweden,,
Norrbotten,250093,Sweden,,
Örebro,304805,Sweden,,
Östergötland,465495,Sweden,,
Skåne,1377827,Sweden,,
Södermanland,297540,Sweden,,
Stockholm,2377081,Sweden,,
Uppsala,383713,Sweden,,
Värmland,282414,Sweden,,
Västerbotten,271736,Sweden,,
Västernorrland,245347,Sweden,,
Västmanland,275845,Sweden,,
Västra Götaland,1725881,Sweden,,
Agder,307231,Norway,,
Innlandet,371385,Norway,,
Møre og Romsdal,265238,Norway,,
Nordland,241236,Norway,,
Oslo,693494,Norway,,
Rogaland,479892,Norway,,
Troms og Finnmark,243311,Norway,,
Trøndelag,468702,Norway,,
Vestfold og Telemark,419396,Norway,,
Vestland,636531,Norway,,
Viken,1241164,Norway,,
Etelä-Karjala,127757,Finland,,
Etelä-Pohjanmaa,188685,Finland,,
Etelä-Savo,142335,Finland,,
HUS,1689725,Finland,,
Kanta-Häme,170925,Finland,,
Keski-Pohjanmaa,68158,Finland,,
Keski-Suomi,275104,Finland,,
Länsi-Pohja,61776,Finland,,
Lappi,177161,Finland,,
Päijät-Häme,199604,Finland,,
Pirkanmaa,517666,Finland,,
Pohjois-Karjala,161211,Finland,,
Pohjois-Pohjanmaa,412830,Finland,,
Pohjois-Savo,244236,Finland,,
Satakunta,216752,Finland,,
Vaasa,169741,Finland,,
Varsinais-Suomi,479341,Finland,,
West North,1000000,Finland,Unidentified region Finland,Unidentified region Finland
Ahvenanmaa,29884,Finland,,
Itä-Savo,42221,Finland,,
Kymenlaakso,171167,Finland,,
Kainuu,72306,Finland,,
Greater Reykjavík,178000,Iceland,,
Northeast Iceland,26618,Iceland,,
Northwest Iceland,9310,Iceland,,
South Iceland,21326,Iceland,,
Suðurnes Peninsula,16727,Iceland,,
West Fjords,8014,Iceland,,
West Iceland,14457,Iceland,,
East Iceland,11798,Iceland,,
Dolnośląskie,2901225,Poland,,
Kujawsko-pomorskie,2077775,Poland,,
Łódzkie,2466322,Poland,,
Lubelskie,2117619,Poland,,
Lubuskie,1014548,Poland,,
Małopolskie,3400577,Poland,,
Mazowieckie,5403412,Poland,,
Opolskie,986506,Poland,,
Podkarpackie,2129015,Poland,,
Podlaskie,1181533,Poland,,
Pomorskie,2333523,Poland,,
Śląskie,4533565,Poland,,
Świętokrzyskie,1241546,Poland,,
Warmińsko-mazurskie,1428983,Poland,,
Wielkopolskie,3493969,Poland,,
Zachodniopomorskie,1701030,Poland,,
Aargau,685642,Switzerland,,
Appenzell Ausserrhoden,55432,Switzerland,,
Appenzell Innerrhoden,16127,Switzerland,,
Basel City,195783,Switzerland,,
Basel Country,289404,Switzerland,,
Bern,1039101,Switzerland,,
Fribourg,321717,Switzerland,,
Geneva,504031,Switzerland,,
Glarus,40582,Switzerland,,
Graubünden,198988,Switzerland,,
Jura,73563,Switzerland,,
Lucerne,413044,Switzerland,,
Neuchâtel,176467,Switzerland,,
Nidwalden,43076,Switzerland,,
Obwalden,37924,Switzerland,,
Schaffhausen,82337,Switzerland,,
Schwyz,160457,Switzerland,,
Solothurn,275177,Switzerland,,
St. Gallen,510670,Switzerland,,
Thurgau,279493,Switzerland,,
Ticino,351471,Switzerland,,
Uri,36694,Switzerland,,
Valais,345394,Switzerland,,
Vaud,804861,Switzerland,,
Zug,127612,Switzerland,,
Zurich,1538848,Switzerland,,
Acre,881935,Brazil,,
Alagoas,3337357,Brazil,,
Amapá,845731,Brazil,,
Amazonas,4144597,Brazil,,
Bahia,14873064,Brazil,,
Ceará,9132078,Brazil,,
Distrito Federal,3015268,Brazil,,
Espírito Santo,4018650,Brazil,,
Goiás,7018354,Brazil,,
Maranhão,7075181,Brazil,,
Mato Grosso,3484466,Brazil,,
Mato Grosso do Sul,2778986,Brazil,,
Minas Gerais,21168791,Brazil,,
Pará,8602865,Brazil,,
Paraíba,4018127,Brazil,,
Paraná,11433957,Brazil,,
Pernambuco,9557071,Brazil,,
Piauí,3273227,Brazil,,
Rio de Janeiro,17264943,Brazil,,
Rio Grande do Norte,3506853,Brazil,,
Rio Grande do Sul,11377239,Brazil,,
Rondônia,1777225,Brazil,,
Roraima,605761,Brazil,,
Santa Catarina,7164788,Brazil,,
São Paulo,45919049,Brazil,,
Sergipe,2298696,Brazil,,
Tocantins,1572866,Brazil,,
EU27,445834883,EU,,
World,7800000000,All,,
